Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2012-03-20,346344.0,60010.0,199404.0,95465.0,2303.0,16903.0,68853.0,42911.0,18420.0,27256.0,19509.0,21041.0,307948.0,320491.0,38396.0,25853.0
2012-03-13,339672.0,56527.0,190797.0,99002.0,2323.0,15917.0,64835.0,47984.0,17359.0,27121.0,18170.0,20921.0,301682.0,313471.0,37990.0,26201.0
2012-03-06,313490.0,56732.0,175681.0,97603.0,2237.0,14566.0,57543.0,43788.0,13557.0,18362.0,17446.0,20129.0,278492.0,287404.0,34998.0,26086.0
2012-02-28,307258.0,44581.0,176365.0,95053.0,2353.0,9001.0,64087.0,35509.0,15610.0,16213.0,16373.0,25829.0,270374.0,281040.0,36884.0,26218.0
2012-02-21,313764.0,57567.0,173838.0,94391.0,2330.0,11142.0,58714.0,41286.0,16357.0,16575.0,14688.0,24285.0,279031.0,283926.0,34733.0,29838.0
2012-02-14,314635.0,62963.0,164220.0,95306.0,2346.0,9192.0,52875.0,49727.0,16087.0,18222.0,14827.0,26655.0,281300.0,283054.0,33335.0,31581.0
2012-02-07,315496.0,69939.0,159003.0,92327.0,2064.0,12271.0,49918.0,63148.0,14685.0,21728.0,10973.0,24116.0,284984.0,286260.0,30512.0,29236.0
2012-01-31,326264.0,80075.0,152548.0,95202.0,2374.0,11683.0,49048.0,74471.0,15153.0,21891.0,11116.0,26564.0,299616.0,293909.0,26648.0,32355.0
2012-01-24,315325.0,77295.0,154538.0,93944.0,2336.0,10533.0,47893.0,69511.0,14471.0,20470.0,10296.0,23503.0,288109.0,285188.0,27216.0,30137.0
2012-01-17,294612.0,76530.0,149234.0,92850.0,2310.0,8876.0,41784.0,57593.0,10724.0,18048.0,14992.0,18896.0,267708.0,262625.0,26904.0,31987.0
2012-01-10,277806.0,61313.0,149569.0,84710.0,2218.0,6917.0,48071.0,44802.0,10996.0,19952.0,15635.0,17405.0,249364.0,247542.0,28442.0,30264.0
2012-01-03,273454.0,65715.0,142628.0,80821.0,2052.0,6423.0,44516.0,44831.0,13120.0,16947.0,18992.0,18017.0,245559.0,246063.0,27895.0,27391.0
2011-12-27,290339.0,73384.0,142332.0,82734.0,3269.0,7926.0,46037.0,55649.0,11928.0,17986.0,16567.0,21812.0,261807.0,259483.0,28532.0,30856.0
2011-12-20,303836.0,87875.0,139959.0,78895.0,3699.0,8442.0,48335.0,64784.0,12154.0,15619.0,16870.0,25759.0,277079.0,271667.0,26757.0,32169.0
2011-12-13,314868.0,95635.0,149669.0,81109.0,2634.0,11258.0,48799.0,61959.0,11775.0,16416.0,17871.0,24395.0,289387.0,279561.0,25481.0,35307.0
2011-12-06,315566.0,101496.0,155146.0,81687.0,1755.0,9929.0,48241.0,62453.0,14017.0,14195.0,17308.0,20778.0,290343.0,281386.0,25223.0,34180.0
2011-11-29,320391.0,102690.0,154506.0,83115.0,1554.0,5115.0,42890.0,61103.0,12667.0,17332.0,20520.0,27356.0,291165.0,282821.0,29226.0,37570.0
2011-11-22,309116.0,99175.0,154898.0,81723.0,833.0,7299.0,39061.0,56265.0,11901.0,17425.0,18909.0,24890.0,281474.0,274995.0,27642.0,34121.0
2011-11-15,293991.0,87444.0,152110.0,74110.0,1015.0,7522.0,45030.0,50390.0,10400.0,17225.0,18862.0,22330.0,264061.0,262629.0,29930.0,31362.0
2011-11-08,300047.0,91913.0,151802.0,73479.0,1105.0,8578.0,44583.0,52867.0,8861.0,17214.0,17662.0,24915.0,269543.0,265790.0,30504.0,34257.0
2011-11-01,308260.0,102687.0,154435.0,70280.0,394.0,15624.0,42105.0,56177.0,10273.0,18030.0,18341.0,20897.0,279896.0,276141.0,28364.0,32119.0
2011-10-25,304652.0,99415.0,151737.0,72799.0,72.0,16591.0,41113.0,52122.0,11325.0,19457.0,20657.0,18601.0,279301.0,271105.0,25351.0,33547.0
2011-10-18,295032.0,91818.0,149761.0,72786.0,72.0,15337.0,45333.0,46043.0,11379.0,16239.0,22331.0,16489.0,269381.0,261412.0,25651.0,33620.0
2011-10-11,294959.0,95572.0,143768.0,68184.0,1653.0,14401.0,45107.0,52723.0,10947.0,19424.0,22604.0,18135.0,271770.0,264231.0,23189.0,30728.0
2011-10-04,287854.0,91063.0,144800.0,64626.0,1513.0,12611.0,44856.0,42347.0,9094.0,19465.0,25099.0,18745.0,260460.0,254209.0,27394.0,33645.0
2011-09-27,281028.0,90286.0,151862.0,65095.0,1386.0,10046.0,46505.0,32166.0,9281.0,16243.0,26969.0,16378.0,253834.0,248088.0,27194.0,32940.0
2011-09-20,283781.0,75347.0,170937.0,65033.0,1386.0,11223.0,53712.0,19662.0,11391.0,17234.0,23678.0,20195.0,254135.0,258472.0,29646.0,25309.0
2011-09-13,294794.0,74918.0,181794.0,61945.0,3806.0,12308.0,60050.0,12488.0,15607.0,17040.0,26013.0,19675.0,261543.0,271691.0,33251.0,23103.0
2011-09-06,282393.0,63056.0,172995.0,61104.0,3217.0,12036.0,62250.0,11740.0,14820.0,15777.0,24436.0,18990.0,248033.0,258234.0,34360.0,24159.0
2011-08-30,281529.0,62273.0,169667.0,62202.0,2200.0,11792.0,57998.0,12840.0,13157.0,15436.0,22446.0,25329.0,248187.0,257431.0,33342.0,24098.0
2011-08-23,276864.0,75873.0,150702.0,65226.0,1557.0,12611.0,45843.0,29459.0,11932.0,16519.0,21622.0,21702.0,249706.0,249585.0,27158.0,27279.0
2011-08-16,277896.0,83567.0,148486.0,66471.0,1722.0,11562.0,43077.0,37966.0,10604.0,17015.0,20522.0,18928.0,251224.0,249790.0,26672.0,28106.0
2011-08-09,275689.0,81145.0,144265.0,69001.0,1519.0,10939.0,43177.0,40531.0,8663.0,18874.0,22350.0,18494.0,250293.0,246761.0,25396.0,28928.0
2011-08-02,284364.0,66188.0,171141.0,73892.0,1084.0,8090.0,57118.0,26962.0,10414.0,17091.0,22378.0,19562.0,252355.0,259631.0,32009.0,24733.0
2011-07-26,278890.0,66065.0,169345.0,73525.0,502.0,7851.0,54720.0,24894.0,11365.0,15516.0,20962.0,18579.0,247621.0,253498.0,31269.0,25392.0
2011-07-19,296690.0,67923.0,185283.0,76564.0,1109.0,8714.0,59518.0,22419.0,12818.0,15780.0,21213.0,20529.0,261846.0,272085.0,34844.0,24605.0
2011-07-12,282768.0,66895.0,170787.0,74780.0,867.0,8416.0,54837.0,24501.0,11803.0,16258.0,20043.0,19421.0,252410.0,255838.0,30358.0,26930.0
2011-07-05,285915.0,71003.0,158325.0,75231.0,1579.0,9270.0,52466.0,33046.0,12999.0,15054.0,22063.0,20526.0,256549.0,257808.0,29366.0,28107.0
